Team,W,L,RS,RA
LAD,59,31,481,315
MIL,54,33,446,320
TB,52,34,396,359
ATL,52,35,422,325
PHI,50,39,400,390
NYY,49,39,426,343
CHC,49,40,449,405
STL,47,39,399,384
MIA,48,42,409,386
CHW,46,42,421,396
CLE,47,43,356,364
SEA,46,44,368,345
WSH,46,44,480,465
TEX,45,44,364,369
PIT,45,45,464,437
ARI,44,44,375,403
SD,43,45,343,388
HOU,44,47,411,457
MIN,43,47,442,464
TOR,42,47,356,394
BAL,42,48,414,441
ATH,41,48,408,479
CIN,40,48,369,430
BOS,39,48,350,347
DET,39,50,373,365
SF,37,51,358,423
NYM,36,53,352,414
LAA,36,54,394,450
COL,36,54,436,516
KC,35,54,364,452
