ID,Pos,Games ,MIN,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,OREB,DREB,TotalREB,AST,STL,BLK,TOV,PF,PPG,ASTPG,REBPG,STLPG,BLKPG,PFPG,MINPG,eFG,PER,TS%,USG%,OBPM,DBPM,VORP,Salary
10061,SF,67,1589,229,532,0.43,20,66,0.303,209,466,0.448,97,138,0.703,149,219,368,97,69,54,67,168,713,1.447761194,5.492537313,1.029850746,0.805970149,2.507462687,23.71641791,0.44924812,15.7,0.485,18.2,0.2,-0.2,0.8,1322716
10063,PG,6,72,7,24,0.292,4,18,0.222,3,6,0.5,4,5,0.8,1,3,4,5,1,0,5,2,64,0.833333333,0.666666667,0.166666667,0,0.333333333,12,0.375,5.3,0.42,20,-3.2,-0.4,0,129321
10100,C,65,1494,141,295,0.478,0,0,NA,141,295,0.478,81,119,0.681,145,292,437,25,17,123,54,141,363,0.384615385,6.723076923,0.261538462,1.892307692,2.169230769,22.98461538,0.477966102,14.3,0.523,12.5,-0.9,1,0.8,30296065
10115,PF,9,41,6,11,0.545,0,0,NA,6,11,0.545,3,6,0.5,3,8,11,3,0,1,3,9,15,0.333333333,1.222222222,0,0.111111111,1,4.555555556,0.545454545,12.4,0.55,19.4,-2.6,1.9,0,1002353
10150,SF,72,2340,410,903,0.454,93,233,0.399,317,670,0.473,249,290,0.859,149,352,501,120,68,33,169,215,1582,1.666666667,6.958333333,0.944444444,0.458333333,2.986111111,32.5,0.505537099,17.8,0.564,23.6,1.8,-0.6,1.9,22711842
10180,SG,80,2811,509,1318,0.386,165,521,0.317,344,797,0.432,200,240,0.833,46,237,283,405,111,29,193,161,2451,5.0625,3.5375,1.3875,0.3625,2.0125,35.1375,0.448786039,15.9,0.486,25.7,1.9,-0.5,2.4,4408945
10219,PF,76,1634,220,466,0.472,55,124,0.444,165,342,0.482,238,271,0.878,100,217,317,103,66,20,84,206,940,1.355263158,4.171052632,0.868421053,0.263157895,2.710526316,21.5,0.53111588,19.4,0.626,18.9,2.2,1,2.2,1135064
10221,C,21,224,43,88,0.489,0,4,0,43,84,0.512,10,13,0.769,9,35,44,9,3,3,15,28,108,0.428571429,2.095238095,0.142857143,0.142857143,1.333333333,10.66666667,0.488636364,12.2,0.512,21.9,-2.8,-2,-0.2,1417806
10250,SF,4,28,3,9,0.333,0,1,0,3,8,0.375,2,4,0.5,1,4,5,2,2,1,3,3,11,0.5,1.25,0.5,0.25,0.75,7,0.333333333,6.7,0.372,22.1,-6.7,1.7,0,1282695
10272,PF,68,1442,237,537,0.441,0,3,0,237,534,0.444,89,116,0.767,148,195,343,57,38,18,59,191,572,0.838235294,5.044117647,0.558823529,0.264705882,2.808823529,21.20588235,0.441340782,13.6,0.479,20.1,-1.8,-1.4,-0.4,2633802
10288,C,10,35,8,15,0.533,0,0,NA,8,15,0.533,6,9,0.667,5,9,14,3,0,2,5,6,22,0.3,1.4,0,0.2,0.6,3.5,0.533333333,22.8,0.58,31.1,0.2,0.5,0,1392699
10291,PG,59,1211,104,298,0.349,4,26,0.154,100,272,0.368,45,68,0.662,15,87,102,184,41,11,87,90,323,3.118644068,1.728813559,0.694915254,0.186440678,1.525423729,20.52542373,0.355704698,7.4,0.392,16.6,-4.9,0.1,-0.9,1177821
10296,SG,82,1769,203,576,0.352,52,179,0.291,151,397,0.38,122,153,0.797,30,122,152,187,103,4,79,115,961,2.280487805,1.853658537,1.256097561,0.048780488,1.402439024,21.57317073,0.397569444,11.5,0.451,18.3,-2,1.1,0.5,5130783
10299,PF,48,984,119,256,0.465,6,21,0.286,113,235,0.481,40,50,0.8,50,182,232,89,37,28,42,102,329,1.854166667,4.833333333,0.770833333,0.583333333,2.125,20.5,0.4765625,14.5,0.511,14.4,-0.7,1.2,0.6,9620219
