ID,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY
10030,SF,59,10,981,114,285,0.4,33,102,0.324,81,183,0.443,0.458,74,94,0.787,25,132,157,55,43,27,61,96,335,3083312.4
10040,C,81,81,2541,444,869,0.511,40,115,0.348,404,754,0.536,0.534,245,303,0.809,139,450,589,106,74,172,105,262,1173,3276907.2
10150,PG,70,42,2029,338,703,0.481,137,322,0.425,201,381,0.528,0.578,85,100,0.85,25,154,179,189,79,7,92,126,898,3854340
10184,C,65,48,1391,271,534,0.507,0,1,0,271,533,0.508,0.507,120,210,0.571,154,313,467,123,50,74,143,161,662,2555355.6
10194,PF,76,76,2471,272,650,0.418,81,263,0.308,191,387,0.494,0.481,151,213,0.709,98,501,599,533,154,106,184,217,776,20389478.55
10203,PF,50,11,804,108,244,0.443,30,97,0.309,78,147,0.531,0.504,58,89,0.652,19,111,130,28,14,7,28,60,304,153407.52
10216,PG,60,60,2244,426,918,0.464,193,468,0.412,233,450,0.518,0.569,299,365,0.819,48,238,286,417,88,19,173,170,1344,15960000
10258,SG,71,20,1074,106,245,0.433,41,123,0.333,65,122,0.533,0.516,29,37,0.784,21,79,100,77,32,15,36,62,282,722816.43
10278,PG,55,41,1406,208,551,0.377,56,178,0.315,152,373,0.408,0.428,131,167,0.784,29,149,178,217,41,13,123,95,603,4311594
10293,PF,66,65,2164,443,985,0.45,112,314,0.357,331,671,0.493,0.507,198,252,0.786,111,364,475,97,47,129,118,244,1196,5742567.6
10318,PF,17,0,199,36,76,0.474,0,0,,36,76,0.474,0.474,15,21,0.714,23,50,73,4,4,7,7,17,87,722816.43
10385,PF,73,33,1283,146,327,0.446,20,81,0.247,126,246,0.512,0.477,26,35,0.743,46,112,158,170,18,9,87,83,338,9310000
10412,SG,71,66,1914,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643,7322471.94
10472,PF,71,43,1754,305,591,0.516,25,78,0.321,280,513,0.546,0.537,74,110,0.673,143,428,571,138,75,28,127,152,709,12302500
10538,SF,82,26,1972,204,451,0.452,123,279,0.441,81,172,0.471,0.589,50,68,0.735,23,238,261,225,96,8,107,163,581,2859500
10548,SG,20,2,397,47,81,0.58,1,5,0.2,46,76,0.605,0.586,25,39,0.641,17,46,63,14,13,7,11,36,120,97792.24
10554,SG,78,78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,0.475,367,441,0.832,46,203,249,268,72,21,241,242,1726,2957388
10563,PG,63,63,1587,265,569,0.466,23,69,0.333,242,500,0.484,0.486,85,117,0.726,9,104,113,285,34,2,89,92,638,19212266.29
10617,SF,73,15,1799,193,490,0.394,112,296,0.378,81,194,0.418,0.508,88,115,0.765,36,191,227,133,60,36,50,163,586,5671195.81
10645,SG,39,0,592,63,173,0.364,25,94,0.266,38,79,0.481,0.436,30,33,0.909,6,44,50,37,22,1,21,35,181,1350875.68
10681,C,58,39,1123,159,309,0.515,0,1,0,159,308,0.516,0.515,74,107,0.692,92,203,295,57,29,78,52,151,392,16648415.98
10685,C,80,80,2066,391,702,0.557,1,2,0.5,390,700,0.557,0.558,176,217,0.811,226,533,759,57,37,63,106,216,959,19128090.59
10709,C,71,62,1419,216,392,0.551,0,1,0,216,391,0.552,0.551,38,62,0.613,118,285,403,47,36,48,61,172,470,10701845
10711,SG,59,55,1593,272,666,0.408,114,307,0.371,158,359,0.44,0.494,90,115,0.783,16,186,202,96,38,11,65,132,748,1870671.6
10754,C,75,55,2163,483,1031,0.468,23,75,0.307,460,956,0.481,0.48,107,160,0.669,176,603,779,208,76,74,117,180,1096,15627500
10984,SG,77,74,2459,321,704,0.456,108,269,0.401,213,435,0.49,0.533,85,98,0.867,53,206,259,179,81,24,69,141,835,14951860
10985,PG,49,49,1544,289,606,0.477,94,233,0.403,195,373,0.523,0.554,157,196,0.801,23,144,167,204,50,11,85,114,829,10640000
10987,C,77,3,1333,194,377,0.515,21,74,0.284,173,303,0.571,0.542,107,141,0.759,93,213,306,49,61,39,34,135,516,11138750
11028,SG,82,55,1888,327,767,0.426,148,379,0.391,179,388,0.461,0.523,64,76,0.842,35,234,269,121,38,9,101,115,866,4677876
11046,PF,79,79,2803,599,1280,0.468,78,222,0.351,521,1058,0.492,0.498,242,281,0.861,93,301,394,116,65,15,102,128,1518,29415277.5
11059,C,51,5,525,78,158,0.494,0,1,0,78,157,0.497,0.494,22,39,0.564,43,81,124,42,7,21,20,61,178,10640000
11077,C,75,6,1538,260,508,0.512,68,192,0.354,192,316,0.608,0.579,90,123,0.732,73,288,361,148,43,29,96,207,678,4115038.62
11148,SG,73,22,1820,283,619,0.457,77,208,0.37,206,411,0.501,0.519,57,74,0.77,33,119,152,164,50,32,62,131,700,10748212.79
11164,SG,61,27,1176,180,419,0.43,65,170,0.382,115,249,0.462,0.507,70,93,0.753,19,110,129,51,29,6,62,108,495,5331813.06
11203,SG,62,19,777,55,142,0.387,17,46,0.37,38,96,0.396,0.447,25,40,0.625,20,88,108,54,47,14,42,81,152,1350875.68
11232,PF,48,1,560,105,196,0.536,0,1,0,105,195,0.538,0.536,31,66,0.47,84,139,223,31,26,9,46,76,241,1303973.23
11257,PG,65,35,1525,163,404,0.403,40,128,0.313,123,276,0.446,0.453,98,129,0.76,34,139,173,335,56,6,101,133,464,2779700
11263,C,31,0,555,65,111,0.586,0,0,,65,111,0.586,0.586,43,75,0.573,47,103,150,19,33,24,34,90,173,21205724.82
11312,SG,72,41,1667,234,553,0.423,61,173,0.353,173,380,0.455,0.478,133,165,0.806,34,151,185,112,40,15,62,129,662,11970000
11324,SG,49,7,714,98,252,0.389,41,133,0.308,57,119,0.479,0.47,34,37,0.919,12,19,31,25,24,2,6,44,271,4639040
11332,C,62,58,1725,253,443,0.571,0,1,0,253,442,0.572,0.571,133,196,0.679,135,270,405,99,62,58,65,189,639,7073356.29
11346,PF,65,8,1599,154,384,0.401,94,253,0.372,60,131,0.458,0.523,43,60,0.717,62,231,293,76,40,23,38,120,445,8046500
11361,C,75,2,1163,143,279,0.513,0,0,,143,279,0.513,0.513,79,94,0.84,111,222,333,32,17,39,50,166,365,8645000
11385,PG,63,60,1811,351,867,0.405,135,384,0.352,216,483,0.447,0.483,147,188,0.782,31,190,221,303,87,16,176,130,984,7092624
11441,PF,32,4,331,39,86,0.453,1,7,0.143,38,79,0.481,0.459,19,26,0.731,22,42,64,8,15,8,12,30,98,722816.43
11556,SF,35,1,249,26,89,0.292,13,51,0.255,13,38,0.342,0.365,13,17,0.765,6,18,24,11,9,3,11,22,78,798000
11561,C,76,37,1330,161,259,0.622,0,0,,161,259,0.622,0.622,65,93,0.699,129,367,496,44,37,61,61,180,387,3854340
11583,C,65,59,1551,362,563,0.643,0,0,,362,563,0.643,0.643,94,177,0.531,178,348,526,63,34,79,87,179,818,1723999.2
11598,PF,69,67,2343,430,972,0.442,75,241,0.311,355,731,0.486,0.481,311,405,0.768,111,422,533,252,90,62,158,186,1246,26695803.89
11608,C,48,13,682,80,147,0.544,0,0,,80,147,0.544,0.544,61,75,0.813,54,98,152,21,8,46,32,100,221,6650000
11611,PF,81,66,1632,192,481,0.399,51,159,0.321,141,322,0.438,0.452,44,67,0.657,46,242,288,82,39,32,83,200,479,3245466
11613,SG,78,78,2649,644,1376,0.468,268,647,0.414,376,729,0.516,0.565,186,218,0.853,49,236,285,160,66,40,128,139,1742,22162554.75
11665,SF,25,7,277,28,70,0.4,15,43,0.349,13,27,0.481,0.507,10,13,0.769,1,47,48,10,4,5,16,40,81,4692133.6
11672,SF,44,18,843,88,221,0.398,33,99,0.333,55,122,0.451,0.473,31,40,0.775,15,110,125,36,15,16,40,78,240,997500
11705,SF,74,18,1777,185,473,0.391,87,263,0.331,98,210,0.467,0.483,70,89,0.787,70,314,384,195,48,26,107,185,527,322157.92
11707,C,70,3,1237,170,337,0.504,46,110,0.418,124,227,0.546,0.573,49,64,0.766,76,164,240,95,30,41,55,97,435,1350875.68
